source,relation,target
Paddy,GROWN_IN,Wheat
Paddy,GROWN_IN,Andhra Pradesh
Paddy,GROWN_IN,Jammu And Kashmir
Paddy,GROWN_IN,Soil
Paddy,GROWN_IN,Punjab
Paddy,GROWN_IN,Haryana
Paddy,GROWN_IN,India
Paddy,GROWN_IN,Brown Plant Hopper
Paddy,GROWN_IN,Kerala
Paddy,GROWN_IN,Kerala
Paddy,GROWN_IN,Tamil Nadu
Paddy,GROWN_IN,Chhattisgarh
Paddy,GROWN_IN,Goa
Paddy,GROWN_IN,Jammu And Kashmir
Paddy,GROWN_IN,Madhya Pradesh
Paddy,GROWN_IN,Sikkim
Paddy,GROWN_IN,Uttar Pradesh
Paddy,GROWN_IN,Tamil Nadu
Paddy,GROWN_IN,Bandipora
Paddy,GROWN_IN,Punjab
Paddy,GROWN_DURING,Kharif
Paddy,GROWN_DURING,Irrigation
Paddy,GROWN_DURING,Rainfed Agriculture
Paddy,GROWN_DURING,Season
Paddy,AFFECTED_BY,Rice Meal Moth
Paddy,AFFECTED_BY,Sheath Blight
Paddy,AFFECTED_BY,Heat Wave
Paddy,AFFECTED_BY,Brown Spot
Paddy,AFFECTED_BY,Ustiloginoidea Virens
Paddy,CONTROLLED_BY,Malathion
Paddy,CONTROLLED_BY,Irrigation
Paddy,CONTROLLED_BY,Neem Oil
Paddy,CONTROLLED_BY,Hexaconazole
Paddy,CONTROLLED_BY,Mancozeb
Paddy,CONTROLLED_BY,Neem Cake
Paddy,CONTROLLED_BY,Carbendazim
Paddy,CONTROLLED_BY,Aluminium Phosphide
Paddy,CONTROLLED_BY,Methyl Bromide
Paddy,CONTROLLED_BY,Pretilachlor
Paddy,CONTROLLED_BY,Bispyribac Sodium
Paddy,CONTROLLED_BY,Tricyclazole
Paddy,CONTROLLED_BY,Pyrozosulphuron
Paddy,CONTROLLED_BY,Livestock
Paddy,CONTROLLED_BY,Dairy
Paddy,CONTROLLED_BY,Ground Water
Paddy,CONTROLLED_BY,Rainwater Harvesting
Paddy,CONTROLLED_BY,Post-Harvest Management
Paddy,CONTROLLED_BY,Crop Diversification
Paddy,CONTROLLED_BY,Institutional Credit
Paddy,CONTROLLED_BY,Institutional Credit
Paddy,CONTROLLED_BY,Metominostrobin
Paddy,CONTROLLED_BY,Azoxystrobin
Paddy,CONTROLLED_BY,Aureofungin
Paddy,CONTROLLED_BY,Tebuconazole
Paddy,CONTROLLED_BY,Propineb
