type,name
Crop,Paddy
Crop,Rice
Crop,Cotton
Crop,Bajra
Crop,Pearl Millet
Crop,Jowar
Crop,Sorghum
Crop,Wheat
Crop,Chickpea
Crop,Gram
Crop,Sunflower
Crop,Barley
Crop,Maize
Crop,Sugarcane
Pest,Locust
Pest,Aphids
Pesticide,Malathion
Pesticide,Endosulfan
State,Andhra Pradesh
Season,Kharif
Season,Rabi
Season,Zaid
State,Jammu And Kashmir
Location,Central Plateau Region
Location,Himalayan And Desert Areas
Crop,Oilseeds
Crop,Pulses
Crop,Vegetables
Crop,Fodder
Location,Kashmir Valley
Location,Ladakh
Season,Sub-Tropical
Season,Intermediate
Season,Temperate
Crop,Food Grains
Irrigation,Irrigation
FarmerPractice,Economic Survey Of J&K 2014-15
District,Jammu
State,J&K
Soil,Soil
FarmerPractice,Conservation Agriculture
Pesticide,Gypsum
Soil,Sodic Soils
Disease,Waterlogging
Nutrient,Npk
Pesticide,Pesticides
Fertilizer,Fertilizer
Location,Jammu Region
State,Punjab
State,Haryana
Country,India
Crop,Apple
Crop,Basmati Rice
Pesticide,Herbicides
Pesticide,Fungicides
Pesticide,Insecticides
FarmerPractice,Integrated Pest Management
FarmerPractice,Integrated Nutrient Management
FarmerPractice,Sustainable Agriculture
Fertilizer,Chemical Fertilizers
Nutrient,Rhizobium
Irrigation,Shahpurkandi Dam Project
Location,Kandi Areas
Location,Ladakh Region
District,Samba
District,Kathua
FarmerPractice,Animal Husbandry
FarmerPractice,Fisheries
FarmerPractice,Horticulture
FarmerPractice,Plantation
FarmerPractice,Integrated Organic Farming System (Iofs)
Crop,Cereals
Crop,Fruits
Fertilizer,Vermincompost
Soil,Healthy Soil
Fertilizer,Mineral Fertilizer
Soil,Agro-Ecosystem
Crop,Rajmash
Crop,Potato
Crop,Red Rice
Crop,Walnut
Crop,Ginger
Crop,Turmeric
Crop,Saffron
Crop,Spices
FarmerPractice,Organic Farming
Pesticide,Agrochemicals
Weather,Environment
Weather,Climate Change
Nutrient,Nutrients
Pest,Rice Stem Borer
Pest,Brinjal Fruit Borer
Pest,Caseworm
Pest,Mango Stem Borer
Pest,Red Hairy Caterpillar
Pest,Mango Hoppers
Pest,Chilli Thrips
Pest,Mealy Bug
Pest,Coconut Slug Caterpillar
Pest,Brown Plant Hopper
Pest,Rice Gall Midge
Fertilizer,Fertilizers
State,Kerala
FarmerPractice,Integrated Pest Management (Ipm)
FarmerPractice,Integrated Disease Management (Idm)
FarmerPractice,Integrated Pest And Disease Management (Ipdm)
FarmerPractice,Protected Cultivation
FarmerPractice,Hydroponics
FarmerPractice,Aquaponics
Fertilizer,Biofertilizers
Pesticide,Neem Oil
Pesticide,Bordeaux Mixture
Fertilizer,Panchagavya
Fertilizer,Dasagavya
Fertilizer,Fish Amino Acid
Fertilizer,Egg Amino Acid
Biocontrol_agent,Trichoderma
Biocontrol_agent,Pseudomonas
FarmerPractice,Soil Less Cultivation
Fertilizer,Bio-Fertilizers
Nutrient,Mycorrhizae
FarmerPractice,Integrated Pest And Disease Management
Pest,Pests
Disease,Diseases
Nutrient,Plant Health
Nutrient,Food Safety
Nutrient,Food Security
Location,Agro-Based Industries
Location,Economy
FarmerPractice,Koch'S Postulates
FarmerPractice,E-Crop Doctor
FarmerPractice,Plant Disease Forecasting
Pest,Insects
Disease,Fungus
Disease,Bacteria
Disease,Virus
Disease,Mycoplasma
Soil,Abiotic Factors
Pest,Pest Outbreak
FarmerPractice,Plant Pathology
Disease,Algae
Symptom,Chlorosis
Symptom,Yellowing
Symptom,Damping Off
Disease,Bacterial Blight Of Paddy
Nutrient,Economic Threshold Level
Nutrient,Economic Injury Level
Pest,Thrips
Pest,Bugs
FarmerPractice,Economic Threshold Level
FarmerPractice,Economic Injury Level
FarmerPractice,Integrated Disease Management
FarmerPractice,Weed Management
Pesticide,Tridemorph
Pesticide,Hexaconazole
Pesticide,Contaf 5 Ec
Pesticide,Mancozeb
Fertilizer,Neem Cake
Pesticide,Pseudomonas
Pesticide,Beauvaria Bassiana
Pesticide,Metarrhizium Anisopliae
Pesticide,Carbaryl
Disease,Panama Wilt
Disease,Quick Wilt
Disease,Stem Bleeding
Disease,Bud Rot
Pest,Red Palm Weevil
Pest,Rhinoceros Beetle
Pest,Coconut Leaf Caterpillar
Pest,Button Mealy Bugs
Pest,Coreid Bugs
Pest,Mites
Pest,Rodents
Crop,Sun Hemp
Crop,Cowpea
Pesticide,Trichoderma
Fertilizer,Cowdung
Fertilizer,Neemcake
Disease,Leafspot
Pesticide,Coc
Pesticide,Bleaching Powder
Pesticide,Carbendazim
Pesticide,Metarrhizium
Pesticide,Nanma
Pesticide,Menma
Disease,Bunchy Top
Disease,Banana Bract Mosaic
Disease,Banana Streak Mosaic
Disease,Sigatoka
Pesticide,Lecanicilium Lecani
Fertilizer,Lime
Crop,Pepper Vines
Fertilizer,Trichoderma Enriched Organic Manure
Pesticide,Pseudomonas Fluorescens
Pesticide,Bm
Pesticide,Copper Fungicides
Pesticide,Potassium Phosphonate
Pesticide,Quinalphos
Pesticide,Dimethoate
Pesticide,Bacillus Macerans
Crop,Eupatorium
Pest,Fruit Fly
Pest,Coffee Berry Borer
Fertilizer,Ash
Pest,Rice Meal Moth
Pesticide,Aluminium Phosphide
Pesticide,Methyl Bromide
Nutrient,Trichoderma
Crop,Andrographis
Crop,Papaya Leaf
Fertilizer,Cows Urine
Crop,Garlic
Crop,Bittergourd
Crop,Coconut
Crop,Brinjal
Crop,Rose
Crop,Orchids
Crop,Anthurium
Pest,Locusts
Pest,Grasshoppers
Pest,Mealy Bugs
Pest,Jassids
Pest,Pod Fly
Pest,American Serpentine Leaf Miner
Pest,Caterpillars
Crop,Chilli
Pest,Hoppers
Crop,Vegetable Crops
Pest,Chilli Aphids
Pest,Whitefly
Crop,Cucurbits
Crop,Amaranthus
Pesticide,Copper Sulphate
Pesticide,Quick Lime
Fertilizer,Cow Dung
Fertilizer,Cow Ghee
Fertilizer,Cow'S Urine
Fertilizer,Cow Milk
Fertilizer,Cow'S Curd
Fertilizer,Tender Coconut Water
Fertilizer,Jaggery
Crop,Poovan Banana
Crop,Azadirachta Indica
Crop,Calotropis Sp
Crop,Tephrosia Purpurea
Crop,Vitex Negundo
Crop,Datura Metel
Crop,Jatropha Curcas
Crop,Adathoda Vasica
Crop,Pongamia Pinnata
Bio-fertilizer,Rhizobium
Bio-fertilizer,Bradyrhizobium
Bio-fertilizer,Azorhizobium
Bio-fertilizer,Azospirillum
Bio-fertilizer,Blue-Green Algae
Crop,Azolla
Bio-fertilizer,Bacillus
Bio-fertilizer,Aspergillus
Bio-fertilizer,Penicillium
Bio-fertilizer,Trichoderma
Bio-fertilizer,Amf
Bio-fertilizer,Frateuria Aurentia
Fertilizer,Compost
Fertilizer,Vermicompost
Fertilizer,Biofertilizer
Disease,Trichoderma Spp.
Pesticide,Methyl Eugenol
Pesticide,Cue Lure
Pesticide,Ddvp
Pesticide,Bacillus Thuringiensis
Pesticide,Bacillus Macerance
Pesticide,Nuclear Polyhedrosis Virus
Pesticide,Cytoplasmic Polyhedrosis Virus
Pesticide,Baculovirus
Pest,Insect Pests
Pest,Fruit Flies
Pest,Lepidopteran
Pest,Dipteran
Pest,Coleopteran
Pest,Root-Knot Nematode
Crop,Perennial Crops
Crop,Cucurbitaceous Crops
Crop,Solanaceous Crops
Crop,Mango
Crop,Guava
Crop,Papaya
Crop,Citrus
Crop,Cucumber
Crop,Gherkin
Crop,Melon
Crop,Pumpkin
Crop,Bitter Gourd
Crop,Snake Gourd
FarmerPractice,Sprayer
Pesticide,Spray Fluid
FarmerPractice,Nozzle
FarmerPractice,Boom
FarmerPractice,Knapsack Sprayer
FarmerPractice,Bucket Sprayer
FarmerPractice,Foot Sprayer
FarmerPractice,Pneumatic Sprayers
FarmerPractice,Compression Knapsack Sprayer
FarmerPractice,Power Operated Sprayers
FarmerPractice,Ulv Sprayer
FarmerPractice,Duster
FarmerPractice,Granular Applicator
FarmerPractice,Air-Assisted Electrostatic Sprayers
FarmerPractice,Fogging Machine
FarmerPractice,Vision Guided Spraying System
FarmerPractice,Gps Guided System
Pest,Automatic Traps
Pest,Remote Triggered Trap
Pest,Pot Traps
Pest,Snap Trap
Pest,Glues
Crop,Crop
Pest,Rice Field Rats
Pesticide,Botanicals
Pesticide,Bio-Pesticides
FarmerPractice,Fertigation
Crop,Tomato
Crop,Capsicum
Crop,Salad Cucumber
Fertilizer,Fym
Soil,Red Soil
Soil,Rice Husk
Soil,Perlite
Soil,Cocopeat
Crop,Exotic Ornamental Plants
Soil,Vermiculite
FarmerPractice,Plastic Mulching
FarmerPractice,Ipdm
Fertilizer,Bonemeal
Pesticide,Formaldehyde
Pesticide,Methylbromide
Irrigation,Drip Irrigation
Irrigation,Microirrigation
Pesticide,Trichoderma Viride
Pesticide,Carbosulfan
Fertilizer,19:19:19
Fertilizer,12:6:18
Fertilizer,Urea
Fertilizer,Magnesium Nitrate
Fertilizer,Ferrous Sulphate
Fertilizer,Zinc Sulphate
Fertilizer,Borax
Pest,Chrysoperla Carnea
Pest,Lecanicilium Lecanii
Pest,Beauvaria Bassiana
Pest,Phytoseiulus Persimilis
Fungus,Trichoderma Viride
Pesticide,Wettable Sulphur
Crop,Portulaca Oleracea
Pest,Tobacco Caterpillar
Pesticide,Neem
Pesticide,Emamectin Benzoate
Pesticide,Chlorantranilipole
Pesticide,Thiamethoxam
Location,Kerala
Fish,Tilapia
Fish,Carp
Nutrient,Ph
Crop,Lettuce
Crop,Broccoli
Crop,Spinach
Crop,Mint
Crop,Ladies Finger
Crop,Flowers
Disease,Pesticide Residue
